"Notes","State","State Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Tennessee","47","2010","2010","55-64 years","55-64",30,785715,3.8
,"Tennessee","47","2011","2011","15-24 years","15-24",93,868349,10.7
,"Tennessee","47","2011","2011","25-34 years","25-34",80,835370,9.6
,"Tennessee","47","2011","2011","35-44 years","35-44",57,843941,6.8
,"Tennessee","47","2011","2011","45-54 years","45-54",40,921225,4.3
,"Tennessee","47","2011","2011","55-64 years","55-64",24,817117,2.9
,"Tennessee","47","2012","2012","15-24 years","15-24",114,876616,13.0
,"Tennessee","47","2012","2012","25-34 years","25-34",98,844066,11.6
,"Tennessee","47","2012","2012","35-44 years","35-44",50,841915,5.9
,"Tennessee","47","2012","2012","45-54 years","45-54",25,910875,2.7
,"Tennessee","47","2012","2012","55-64 years","55-64",23,822636,2.8
,"Tennessee","47","2012","2012","65-74 years","65-74",12,536160,Unreliable
,"Tennessee","47","2013","2013","15-24 years","15-24",96,881079,10.9
,"Tennessee","47","2013","2013","25-34 years","25-34",95,846372,11.2
,"Tennessee","47","2013","2013","35-44 years","35-44",49,841476,5.8
,"Tennessee","47","2013","2013","45-54 years","45-54",31,902043,3.4
,"Tennessee","47","2013","2013","55-64 years","55-64",21,832204,2.5
,"Tennessee","47","2014","2014","15-24 years","15-24",117,885935,13.2
,"Tennessee","47","2014","2014","25-34 years","25-34",79,858325,9.2
,"Tennessee","47","2014","2014","35-44 years","35-44",54,840148,6.4
,"Tennessee","47","2014","2014","45-54 years","45-54",32,896731,3.6
,"Tennessee","47","2014","2014","55-64 years","55-64",19,842266,Unreliable
,"Tennessee","47","2015","2015","15-24 years","15-24",111,884197,12.6
,"Tennessee","47","2015","2015","25-34 years","25-34",101,872233,11.6
,"Tennessee","47","2015","2015","35-44 years","35-44",60,837242,7.2
,"Tennessee","47","2015","2015","45-54 years","45-54",45,894910,5.0
,"Tennessee","47","2015","2015","55-64 years","55-64",23,855183,2.7
,"Tennessee","47","2016","2016","15-24 years","15-24",139,876855,15.9
,"Tennessee","47","2016","2016","25-34 years","25-34",132,892054,14.8
,"Tennessee","47","2016","2016","35-44 years","35-44",67,831284,8.1
,"Tennessee","47","2016","2016","45-54 years","45-54",49,894419,5.5
,"Tennessee","47","2016","2016","55-64 years","55-64",24,866723,2.8
,"Tennessee","47","2016","2016","65-74 years","65-74",11,628409,Unreliable
,"Tennessee","47","2017","2017","15-24 years","15-24",152,872034,17.4
,"Tennessee","47","2017","2017","25-34 years","25-34",120,915996,13.1
,"Tennessee","47","2017","2017","35-44 years","35-44",97,834564,11.6
,"Tennessee","47","2017","2017","45-54 years","45-54",53,891599,5.9
,"Tennessee","47","2017","2017","55-64 years","55-64",22,877048,2.5
,"Tennessee","47","2018","2018","5-14 years","5-14",10,842454,Unreliable
,"Tennessee","47","2018","2018","15-24 years","15-24",173,870982,19.9
,"Tennessee","47","2018","2018","25-34 years","25-34",151,931067,16.2
,"Tennessee","47","2018","2018","35-44 years","35-44",67,840267,8.0
,"Tennessee","47","2018","2018","45-54 years","45-54",54,882795,6.1
,"Tennessee","47","2018","2018","55-64 years","55-64",31,886174,3.5
,"Tennessee","47","2018","2018","65-74 years","65-74",11,661602,Unreliable
,"Tennessee","47","2019","2019","15-24 years","15-24",139,869205,16.0
,"Tennessee","47","2019","2019","25-34 years","25-34",149,949656,15.7
,"Tennessee","47","2019","2019","35-44 years","35-44",96,847658,11.3
,"Tennessee","47","2019","2019","45-54 years","45-54",40,871279,4.6
,"Tennessee","47","2019","2019","55-64 years","55-64",26,894697,2.9
,"Tennessee","47","2019","2019","65-74 years","65-74",11,681396,Unreliable
,"Tennessee","47","2020","2020","5-14 years","5-14",16,847590,Unreliable
,"Tennessee","47","2020","2020","15-24 years","15-24",188,870023,21.6
,"Tennessee","47","2020","2020","25-34 years","25-34",202,961939,21.0
,"Tennessee","47","2020","2020","35-44 years","35-44",124,854962,14.5
,"Tennessee","47","2020","2020","45-54 years","45-54",58,863787,6.7
,"Tennessee","47","2020","2020","55-64 years","55-64",42,900592,4.7
,"Tennessee","47","2020","2020","65-74 years","65-74",12,704870,Unreliable
,"Texas","48","2010","2010","5-14 years","5-14",12,3810117,Unreliable
,"Texas","48","2010","2010","15-24 years","15-24",289,3700203,7.8
,"Texas","48","2010","2010","25-34 years","25-34",266,3613473,7.4
,"Texas","48","2010","2010","35-44 years","35-44",142,3458382,4.1
,"Texas","48","2010","2010","45-54 years","45-54",105,3435336,3.1
,"Texas","48","2010","2010","55-64 years","55-64",56,2597691,2.2
,"Texas","48","2010","2010","65-74 years","65-74",27,1472256,1.8
,"Texas","48","2011","2011","5-14 years","5-14",15,3873947,Unreliable
,"Texas","48","2011","2011","15-24 years","15-24",245,3757481,6.5
,"Texas","48","2011","2011","25-34 years","25-34",245,3694865,6.6
,"Texas","48","2011","2011","35-44 years","35-44",134,3492402,3.8
,"Texas","48","2011","2011","45-54 years","45-54",93,3455586,2.7
,"Texas","48","2011","2011","55-64 years","55-64",56,2734763,2.0
,"Texas","48","2011","2011","65-74 years","65-74",15,1538561,Unreliable
,"Texas","48","2012","2012","5-14 years","5-14",12,3913239,Unreliable
,"Texas","48","2012","2012","15-24 years","15-24",263,3813579,6.9
,"Texas","48","2012","2012","25-34 years","25-34",275,3764291,7.3
,"Texas","48","2012","2012","35-44 years","35-44",170,3535724,4.8
,"Texas","48","2012","2012","45-54 years","45-54",95,3450815,2.8
,"Texas","48","2012","2012","55-64 years","55-64",52,2800415,1.9
,"Texas","48","2012","2012","65-74 years","65-74",13,1643949,Unreliable
,"Texas","48","2012","2012","75-84 years","75-84",11,859714,Unreliable
,"Texas","48","2013","2013","5-14 years","5-14",11,3959599,Unreliable
,"Texas","48","2013","2013","15-24 years","15-24",253,3855325,6.6
,"Texas","48","2013","2013","25-34 years","25-34",275,3831647,7.2
,"Texas","48","2013","2013","35-44 years","35-44",174,3574508,4.9
,"Texas","48","2013","2013","45-54 years","45-54",102,3445227,3.0
,"Texas","48","2013","2013","55-64 years","55-64",63,2874895,2.2
,"Texas","48","2013","2013","65-74 years","65-74",19,1737723,Unreliable
,"Texas","48","2013","2013","75-84 years","75-84",10,880552,Unreliable
,"Texas","48","2014","2014","5-14 years","5-14",15,4001417,Unreliable
,"Texas","48","2014","2014","15-24 years","15-24",271,3905666,6.9
,"Texas","48","2014","2014","25-34 years","25-34",281,3925657,7.2
,"Texas","48","2014","2014","35-44 years","35-44",176,3634885,4.8
,"Texas","48","2014","2014","45-54 years","45-54",133,3471743,3.8
,"Texas","48","2014","2014","55-64 years","55-64",55,2962296,1.9
,"Texas","48","2014","2014","65-74 years","65-74",16,1833501,Unreliable
,"Texas","48","2015","2015","5-14 years","5-14",17,4042191,Unreliable
,"Texas","48","2015","2015","15-24 years","15-24",322,3957593,8.1
,"Texas","48","2015","2015","25-34 years","25-34",336,4012159,8.4
,"Texas","48","2015","2015","35-44 years","35-44",207,3694015,5.6
,"Texas","48","2015","2015","45-54 years","45-54",126,3502717,3.6
,"Texas","48","2015","2015","55-64 years","55-64",62,3051631,2.0
,"Texas","48","2015","2015","65-74 years","65-74",20,1923296,1.0
,"Texas","48","2015","2015","75-84 years","75-84",13,927433,Unreliable
,"Texas","48","2016","2016","1-4 years","1-4",11,1613272,Unreliable
,"Texas","48","2016","2016","5-14 years","5-14",18,4067381,Unreliable
,"Texas","48","2016","2016","15-24 years","15-24",362,3975757,9.1
,"Texas","48","2016","2016","25-34 years","25-34",363,4085728,8.9
,"Texas","48","2016","2016","35-44 years","35-44",238,3726287,6.4
,"Texas","48","2016","2016","45-54 years","45-54",125,3519013,3.6
,"Texas","48","2016","2016","55-64 years","55-64",68,3116019,2.2
,"Texas","48","2016","2016","65-74 years","65-74",28,2008449,1.4
,"Texas","48","2017","2017","5-14 years","5-14",35,4106417,0.9
,"Texas","48","2017","2017","15-24 years","15-24",332,3996424,8.3
,"Texas","48","2017","2017","25-34 years","25-34",384,4162040,9.2
,"Texas","48","2017","2017","35-44 years","35-44",215,3804749,5.7
,"Texas","48","2017","2017","45-54 years","45-54",143,3545865,4.0
,"Texas","48","2017","2017","55-64 years","55-64",90,3184764,2.8
,"Texas","48","2017","2017","65-74 years","65-74",35,2089236,1.7
,"Texas","48","2017","2017","75-84 years","75-84",10,988085,Unreliable
,"Texas","48","2018","2018","5-14 years","5-14",18,4139166,Unreliable
,"Texas","48","2018","2018","15-24 years","15-24",339,4030886,8.4
,"Texas","48","2018","2018","25-34 years","25-34",327,4236328,7.7
,"Texas","48","2018","2018","35-44 years","35-44",229,3881772,5.9
,"Texas","48","2018","2018","45-54 years","45-54",113,3552957,3.2
,"Texas","48","2018","2018","55-64 years","55-64",80,3234290,2.5
,"Texas","48","2018","2018","65-74 years","65-74",20,2166529,0.9
,"Texas","48","2018","2018","75-84 years","75-84",11,1035292,Unreliable
,"Texas","48","2019","2019","5-14 years","5-14",20,4166702,0.5
,"Texas","48","2019","2019","15-24 years","15-24",387,4055517,9.5
,"Texas","48","2019","2019","25-34 years","25-34",350,4276763,8.2
,"Texas","48","2019","2019","35-44 years","35-44",248,3942439,6.3
,"Texas","48","2019","2019","45-54 years","45-54",131,3554098,3.7
,"Texas","48","2019","2019","55-64 years","55-64",94,3275242,2.9
,"Texas","48","2019","2019","65-74 years","65-74",35,2245028,1.6
,"Texas","48","2020","2020","1-4 years","1-4",10,1591888,Unreliable
,"Texas","48","2020","2020","5-14 years","5-14",21,4206393,0.5
,"Texas","48","2020","2020","15-24 years","15-24",565,4098388,13.8
,"Texas","48","2020","2020","25-34 years","25-34",488,4318570,11.3
,"Texas","48","2020","2020","35-44 years","35-44",330,4019259,8.2
,"Texas","48","2020","2020","45-54 years","45-54",171,3576835,4.8
,"Texas","48","2020","2020","55-64 years","55-64",100,3298724,3.0
,"Texas","48","2020","2020","65-74 years","65-74",32,2339912,1.4
,"Texas","48","2020","2020","75-84 years","75-84",12,1119841,Unreliable
,"Utah","49","2010","2010","25-34 years","25-34",10,445687,Unreliable
,"Utah","49","2012","2012","25-34 years","25-34",11,445048,Unreliable
,"Utah","49","2013","2013","25-34 years","25-34",10,440736,Unreliable
,"Utah","49","2015","2015","25-34 years","25-34",17,441518,Unreliable
,"Utah","49","2016","2016","15-24 years","15-24",19,491359,Unreliable
,"Utah","49","2016","2016","25-34 years","25-34",13,448845,Unreliable
,"Utah","49","2017","2017","15-24 years","15-24",15,495829,Unreliable
,"Utah","49","2017","2017","25-34 years","25-34",15,457423,Unreliable
,"Utah","49","2017","2017","45-54 years","45-54",10,317532,Unreliable
,"Utah","49","2018","2018","15-24 years","15-24",10,509891,Unreliable
,"Utah","49","2018","2018","25-34 years","25-34",11,464908,Unreliable
,"Utah","49","2019","2019","15-24 years","15-24",13,518499,Unreliable
,"Utah","49","2019","2019","25-34 years","25-34",20,471806,4.2
,"Utah","49","2019","2019","35-44 years","35-44",11,443453,Unreliable
,"Utah","49","2020","2020","15-24 years","15-24",24,527019,4.6
,"Utah","49","2020","2020","25-34 years","25-34",17,479576,Unreliable
,"Utah","49","2020","2020","35-44 years","35-44",14,450609,Unreliable
,"Virginia","51","2010","2010","15-24 years","15-24",96,1123056,8.5
,"Virginia","51","2010","2010","25-34 years","25-34",65,1090419,6.0
,"Virginia","51","2010","2010","35-44 years","35-44",57,1108928,5.1
,"Virginia","51","2010","2010","45-54 years","45-54",27,1214000,2.2
,"Virginia","51","2010","2010","55-64 years","55-64",15,954964,Unreliable
,"Virginia","51","2011","2011","15-24 years","15-24",75,1128469,6.6
,"Virginia","51","2011","2011","25-34 years","25-34",62,1119591,5.5
,"Virginia","51","2011","2011","35-44 years","35-44",40,1093634,3.7
,"Virginia","51","2011","2011","45-54 years","45-54",25,1209404,2.1
,"Virginia","51","2011","2011","55-64 years","55-64",15,995298,Unreliable
,"Virginia","51","2012","2012","15-24 years","15-24",71,1134642,6.3
,"Virginia","51","2012","2012","25-34 years","25-34",65,1143271,5.7
,"Virginia","51","2012","2012","35-44 years","35-44",28,1092060,2.6
,"Virginia","51","2012","2012","45-54 years","45-54",35,1201653,2.9
,"Virginia","51","2012","2012","55-64 years","55-64",13,1006448,Unreliable
,"Virginia","51","2013","2013","15-24 years","15-24",72,1138703,6.3
,"Virginia","51","2013","2013","25-34 years","25-34",62,1160793,5.3
,"Virginia","51","2013","2013","35-44 years","35-44",45,1089286,4.1
,"Virginia","51","2013","2013","45-54 years","45-54",26,1188281,2.2
,"Virginia","51","2013","2013","55-64 years","55-64",17,1022922,Unreliable
,"Virginia","51","2014","2014","15-24 years","15-24",72,1141615,6.3
,"Virginia","51","2014","2014","25-34 years","25-34",66,1175262,5.6
,"Virginia","51","2014","2014","35-44 years","35-44",37,1088765,3.4
,"Virginia","51","2014","2014","45-54 years","45-54",24,1176456,2.0
,"Virginia","51","2014","2014","55-64 years","55-64",13,1040424,Unreliable
,"Virginia","51","2014","2014","65-74 years","65-74",10,678882,Unreliable
,"Virginia","51","2015","2015","15-24 years","15-24",90,1138379,7.9
,"Virginia","51","2015","2015","25-34 years","25-34",97,1183685,8.2
,"Virginia","51","2015","2015","35-44 years","35-44",37,1089472,3.4
,"Virginia","51","2015","2015","45-54 years","45-54",23,1167116,2.0
,"Virginia","51","2015","2015","55-64 years","55-64",14,1060937,Unreliable
,"Virginia","51","2016","2016","15-24 years","15-24",119,1130590,10.5
,"Virginia","51","2016","2016","25-34 years","25-34",94,1172060,8.0
,"Virginia","51","2016","2016","35-44 years","35-44",70,1085925,6.4
,"Virginia","51","2016","2016","45-54 years","45-54",34,1162384,2.9
,"Virginia","51","2016","2016","55-64 years","55-64",19,1080365,Unreliable
,"Virginia","51","2017","2017","15-24 years","15-24",110,1122746,9.8
,"Virginia","51","2017","2017","25-34 years","25-34",110,1185270,9.3
,"Virginia","51","2017","2017","35-44 years","35-44",40,1093732,3.7
,"Virginia","51","2017","2017","45-54 years","45-54",40,1149003,3.5
,"Virginia","51","2017","2017","55-64 years","55-64",32,1096476,2.9
,"Virginia","51","2018","2018","15-24 years","15-24",116,1121096,10.3
,"Virginia","51","2018","2018","25-34 years","25-34",102,1190306,8.6
,"Virginia","51","2018","2018","35-44 years","35-44",51,1104883,4.6
,"Virginia","51","2018","2018","45-54 years","45-54",28,1125384,2.5
,"Virginia","51","2018","2018","55-64 years","55-64",15,1106872,Unreliable
,"Virginia","51","2018","2018","65-74 years","65-74",10,779038,Unreliable
,"Virginia","51","2019","2019","15-24 years","15-24",109,1113447,9.8
,"Virginia","51","2019","2019","25-34 years","25-34",97,1190381,8.1
,"Virginia","51","2019","2019","35-44 years","35-44",74,1112496,6.7
,"Virginia","51","2019","2019","45-54 years","45-54",22,1100274,2.0
,"Virginia","51","2019","2019","55-64 years","55-64",16,1114417,Unreliable
,"Virginia","51","2019","2019","65-74 years","65-74",13,802291,Unreliable
,"Virginia","51","2020","2020","15-24 years","15-24",142,1117118,12.7
,"Virginia","51","2020","2020","25-34 years","25-34",137,1195477,11.5
,"Virginia","51","2020","2020","35-44 years","35-44",65,1127091,5.8
,"Virginia","51","2020","2020","45-54 years","45-54",45,1084314,4.2
,"Virginia","51","2020","2020","55-64 years","55-64",22,1116831,2.0
,"Washington","53","2010","2010","15-24 years","15-24",40,923640,4.3
,"Washington","53","2010","2010","25-34 years","25-34",32,933781,3.4
,"Washington","53","2010","2010","35-44 years","35-44",18,908305,Unreliable
,"Washington","53","2011","2011","15-24 years","15-24",29,933291,3.1
,"Washington","53","2011","2011","25-34 years","25-34",21,962195,2.2
,"Washington","53","2011","2011","35-44 years","35-44",17,906719,Unreliable
,"Washington","53","2011","2011","45-54 years","45-54",11,976313,Unreliable
,"Washington","53","2012","2012","15-24 years","15-24",30,933258,3.2
,"Washington","53","2012","2012","25-34 years","25-34",42,975860,4.3
,"Washington","53","2012","2012","35-44 years","35-44",26,911009,2.9
,"Washington","53","2012","2012","45-54 years","45-54",11,964294,Unreliable
,"Washington","53","2013","2013","15-24 years","15-24",37,933416,4.0
,"Washington","53","2013","2013","25-34 years","25-34",34,995914,3.4
,"Washington","53","2013","2013","35-44 years","35-44",17,913483,Unreliable
,"Washington","53","2013","2013","45-54 years","45-54",17,951348,Unreliable
,"Washington","53","2014","2014","15-24 years","15-24",37,936977,3.9
,"Washington","53","2014","2014","25-34 years","25-34",36,1021309,3.5
,"Washington","53","2014","2014","35-44 years","35-44",20,918559,2.2
,"Washington","53","2014","2014","45-54 years","45-54",16,945765,Unreliable
,"Washington","53","2015","2015","15-24 years","15-24",56,935606,6.0
,"Washington","53","2015","2015","25-34 years","25-34",32,1052907,3.0
,"Washington","53","2015","2015","35-44 years","35-44",24,927922,2.6
,"Washington","53","2015","2015","45-54 years","45-54",23,946393,2.4
,"Washington","53","2015","2015","55-64 years","55-64",11,928871,Unreliable
,"Washington","53","2016","2016","15-24 years","15-24",38,931819,4.1
,"Washington","53","2016","2016","25-34 years","25-34",47,1081072,4.3
,"Washington","53","2016","2016","35-44 years","35-44",19,941493,Unreliable
,"Washington","53","2016","2016","45-54 years","45-54",25,947910,2.6
,"Washington","53","2017","2017","15-24 years","15-24",53,923869,5.7
,"Washington","53","2017","2017","25-34 years","25-34",48,1117379,4.3
,"Washington","53","2017","2017","35-44 years","35-44",24,973049,2.5
,"Washington","53","2017","2017","45-54 years","45-54",19,944695,Unreliable
,"Washington","53","2018","2018","15-24 years","15-24",50,928312,5.4
,"Washington","53","2018","2018","25-34 years","25-34",51,1153357,4.4
,"Washington","53","2018","2018","35-44 years","35-44",28,1002869,2.8
,"Washington","53","2018","2018","45-54 years","45-54",21,933531,2.2
,"Washington","53","2019","2019","15-24 years","15-24",47,929322,5.1
,"Washington","53","2019","2019","25-34 years","25-34",37,1172075,3.2
,"Washington","53","2019","2019","35-44 years","35-44",27,1028141,2.6
,"Washington","53","2019","2019","45-54 years","45-54",24,923777,2.6
,"Washington","53","2019","2019","55-64 years","55-64",11,959608,Unreliable
,"Washington","53","2019","2019","65-74 years","65-74",10,735524,Unreliable
,"Washington","53","2020","2020","15-24 years","15-24",54,931301,5.8
,"Washington","53","2020","2020","25-34 years","25-34",71,1189552,6.0
,"Washington","53","2020","2020","35-44 years","35-44",44,1057100,4.2
,"Washington","53","2020","2020","45-54 years","45-54",17,921244,Unreliable
,"Washington","53","2020","2020","55-64 years","55-64",13,954141,Unreliable
,"West Virginia","54","2010","2010","25-34 years","25-34",17,220698,Unreliable
,"West Virginia","54","2010","2010","45-54 years","45-54",12,276156,Unreliable
,"West Virginia","54","2011","2011","15-24 years","15-24",14,238820,Unreliable
,"West Virginia","54","2011","2011","25-34 years","25-34",14,220823,Unreliable
,"West Virginia","54","2011","2011","35-44 years","35-44",14,234090,Unreliable
,"West Virginia","54","2012","2012","25-34 years","25-34",14,220220,Unreliable
,"West Virginia","54","2012","2012","35-44 years","35-44",19,232341,Unreliable
,"West Virginia","54","2012","2012","45-54 years","45-54",13,263998,Unreliable
,"West Virginia","54","2013","2013","25-34 years","25-34",12,219405,Unreliable
,"West Virginia","54","2014","2014","15-24 years","15-24",15,235937,Unreliable
,"West Virginia","54","2014","2014","35-44 years","35-44",14,229785,Unreliable
,"West Virginia","54","2014","2014","45-54 years","45-54",13,251912,Unreliable
,"West Virginia","54","2015","2015","15-24 years","15-24",12,231787,Unreliable
,"West Virginia","54","2015","2015","25-34 years","25-34",14,218551,Unreliable
,"West Virginia","54","2016","2016","15-24 years","15-24",21,227084,9.2
,"West Virginia","54","2016","2016","25-34 years","25-34",18,219000,Unreliable
,"West Virginia","54","2016","2016","35-44 years","35-44",14,222833,Unreliable
,"West Virginia","54","2016","2016","45-54 years","45-54",12,243143,Unreliable
,"West Virginia","54","2017","2017","25-34 years","25-34",17,216070,Unreliable
,"West Virginia","54","2017","2017","35-44 years","35-44",19,218844,Unreliable
,"West Virginia","54","2017","2017","45-54 years","45-54",12,238921,Unreliable
,"West Virginia","54","2018","2018","25-34 years","25-34",24,215362,11.1
,"West Virginia","54","2018","2018","35-44 years","35-44",16,216760,Unreliable
,"West Virginia","54","2018","2018","45-54 years","45-54",10,234453,Unreliable
,"West Virginia","54","2019","2019","15-24 years","15-24",15,216856,Unreliable
,"West Virginia","54","2019","2019","25-34 years","25-34",24,214004,11.2
,"West Virginia","54","2019","2019","35-44 years","35-44",18,213802,Unreliable
,"West Virginia","54","2019","2019","45-54 years","45-54",15,229251,Unreliable
,"West Virginia","54","2020","2020","15-24 years","15-24",11,215970,Unreliable
,"West Virginia","54","2020","2020","25-34 years","25-34",21,214721,9.8
,"West Virginia","54","2020","2020","35-44 years","35-44",25,211489,11.8
,"West Virginia","54","2020","2020","45-54 years","45-54",10,225216,Unreliable
,"Wisconsin","55","2010","2010","15-24 years","15-24",37,785761,4.7
,"Wisconsin","55","2010","2010","25-34 years","25-34",39,721694,5.4
,"Wisconsin","55","2010","2010","35-44 years","35-44",11,725666,Unreliable
,"Wisconsin","55","2011","2011","15-24 years","15-24",29,786228,3.7
,"Wisconsin","55","2011","2011","25-34 years","25-34",31,731368,4.2
,"Wisconsin","55","2011","2011","35-44 years","35-44",14,708933,Unreliable
,"Wisconsin","55","2011","2011","45-54 years","45-54",10,864238,Unreliable
,"Wisconsin","55","2012","2012","15-24 years","15-24",48,780873,6.1
,"Wisconsin","55","2012","2012","25-34 years","25-34",30,734473,4.1
,"Wisconsin","55","2012","2012","35-44 years","35-44",26,699094,3.7
,"Wisconsin","55","2013","2013","15-24 years","15-24",40,784037,5.1
,"Wisconsin","55","2013","2013","25-34 years","25-34",36,732214,4.9
,"Wisconsin","55","2013","2013","35-44 years","35-44",18,694378,Unreliable
,"Wisconsin","55","2013","2013","55-64 years","55-64",12,765445,Unreliable
,"Wisconsin","55","2014","2014","15-24 years","15-24",43,788369,5.5
,"Wisconsin","55","2014","2014","25-34 years","25-34",42,730422,5.8
,"Wisconsin","55","2014","2014","35-44 years","35-44",10,690846,Unreliable
,"Wisconsin","55","2014","2014","45-54 years","45-54",12,816544,Unreliable
,"Wisconsin","55","2015","2015","15-24 years","15-24",56,789540,7.1
,"Wisconsin","55","2015","2015","25-34 years","25-34",57,726755,7.8
,"Wisconsin","55","2015","2015","35-44 years","35-44",27,689998,3.9
,"Wisconsin","55","2015","2015","45-54 years","45-54",14,799522,Unreliable
,"Wisconsin","55","2015","2015","55-64 years","55-64",11,794933,Unreliable
,"Wisconsin","55","2016","2016","15-24 years","15-24",50,788033,6.3
,"Wisconsin","55","2016","2016","25-34 years","25-34",62,727719,8.5
,"Wisconsin","55","2016","2016","35-44 years","35-44",40,686760,5.8
,"Wisconsin","55","2016","2016","45-54 years","45-54",19,779989,Unreliable
,"Wisconsin","55","2017","2017","15-24 years","15-24",47,782011,6.0
,"Wisconsin","55","2017","2017","25-34 years","25-34",53,731360,7.2
,"Wisconsin","55","2017","2017","35-44 years","35-44",29,694136,4.2
,"Wisconsin","55","2017","2017","45-54 years","45-54",13,760235,Unreliable
,"Wisconsin","55","2017","2017","55-64 years","55-64",12,815338,Unreliable
,"Wisconsin","55","2018","2018","15-24 years","15-24",48,774339,6.2
,"Wisconsin","55","2018","2018","25-34 years","25-34",47,737377,6.4
,"Wisconsin","55","2018","2018","35-44 years","35-44",33,704716,4.7
,"Wisconsin","55","2018","2018","45-54 years","45-54",19,737557,Unreliable
,"Wisconsin","55","2019","2019","15-24 years","15-24",42,768140,5.5
,"Wisconsin","55","2019","2019","25-34 years","25-34",41,741222,5.5
,"Wisconsin","55","2019","2019","35-44 years","35-44",26,713075,3.6
,"Wisconsin","55","2019","2019","45-54 years","45-54",24,715209,3.4
,"Wisconsin","55","2020","2020","15-24 years","15-24",74,766821,9.7
,"Wisconsin","55","2020","2020","25-34 years","25-34",80,740977,10.8
,"Wisconsin","55","2020","2020","35-44 years","35-44",48,722021,6.6
,"Wisconsin","55","2020","2020","45-54 years","45-54",18,698860,Unreliable
,"Wisconsin","55","2020","2020","55-64 years","55-64",20,819853,2.4
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"ICD-10 Codes: X93 (Assault by handgun discharge); X94 (Assault by rifle, shotgun and larger firearm discharge); X95 (Assault by"
"other and unspecified firearm discharge)"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020"
"Group By: State; Year; Ten-Year Age Groups"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Mar 7, 2026 3:47:11 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Mar 7, 2026 3:47:11 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"5. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
